p,eps,L,mu,c,episode,convergence
1.0,0.0,0.5,0.375,2*(1-eps),"[0.08479186499187971, 0.06311336709123946, 0.04805996291853851, 0.037329943480932645, 0.02951212601304749, 0.023706530766665596, 0.019321401968183067, 0.015962093402451888, 0.013354979434596098, 0.01130965072580831, 0.009687199184772876, 0.008384471323440251, 0.007325429774580591, 0.006454409458440131, 0.0057301021047691586, 0.005121664249055102, 0.004605809653078317, 0.004164596967545692, 0.003784492096225549]",True
1.0,0.0,0.5,0.375,1.5*(1-eps),"[0.08479186499187971, 0.06311336709123946, 0.04805996291853851, 0.037329943480932645, 0.02951212601304749, 0.023706530766665596, 0.019321401968183067, 0.015962093402451888, 0.013354979434596098, 0.01130965072580831, 0.009687199184772876, 0.008384471323440251, 0.007325429774580591, 0.006454409458440131, 0.0057301021047691586, 0.005121664249055102, 0.004605809653078317, 0.004164596967545692, 0.003784492096225549]",True
1.0,0.0,0.5,0.375,1*(1-eps),"[0.08479186499187971, 0.06311336709123946, 0.04805996291853851, 0.037329943480932645, 0.02951212601304749, 0.023706530766665596, 0.019321401968183067, 0.015962093402451888, 0.013354979434596098, 0.01130965072580831, 0.009687199184772876, 0.008384471323440251, 0.007325429774580591, 0.006454409458440131, 0.0057301021047691586, 0.005121664249055102, 0.004605809653078317, 0.004164596967545692, 0.003784492096225549]",True
1.0,0.0,0.5,0.375,0.5*(1-eps),"[0.14711920722243896, 0.12560555651395414, 0.10802725039032124, 0.09351896357106243, 0.08143969455308991, 0.07130550499595696, 0.0627450731036616, 0.055469683432425504, 0.04925189475369743, 0.043910749980641914, 0.039300922293827485, 0.0353054147519904, 0.03183019721246324, 0.028792497413747068, 0.026131412923293063, 0.023789384780339193, 0.021723835821946952, 0.01989610443841878, 0.018274023736007644]",True
1.0,0.0,0.5,0.375,0.25*(1-eps),"[0.19190822998797288, 0.17662459326224966, 0.16292355175067114, 0.15059909967865404, 0.1394780935654405, 0.12941415097405054, 0.12028260552517064, 0.11197671424695287, 0.1044045844187642, 0.09748669044869551, 0.09115393573011972, 0.08534599370001959, 0.08000999979507964, 0.07509946447736982, 0.07057335161534915, 0.06639534943956683, 0.0625331879335214, 0.05895866000678856, 0.05564606895165051]",True
1.0,0.0,1.0,0.0,2*(1-eps),"[0.24264067249656893, 0.207106767352752, 0.18065104662229856, 0.16018861684614066, 0.14389011803721846, 0.13060193609558696, 0.11956057556334367, 0.11024060392636675, 0.10226857174487874, 0.09537178483682084, 0.08934643647631402, 0.08403718007671009, 0.07932351795422782, 0.07511055241066951, 0.07132252868078177, 0.06789824089447485, 0.0647876988180863, 0.061949671549381656, 0.05934984343004958]",True
1.0,0.0,1.0,0.0,1.5*(1-eps),"[0.24264067249656893, 0.207106767352752, 0.18065104662229856, 0.16018861684614066, 0.14389011803721846, 0.13060193609558696, 0.11956057556334367, 0.11024060392636675, 0.10226857174487874, 0.09537178483682084, 0.08934643647631402, 0.08403718007671009, 0.07932351795422782, 0.07511055241066951, 0.07132252868078177, 0.06789824089447485, 0.0647876988180863, 0.061949671549381656, 0.05934984343004958]",True
1.0,0.0,1.0,0.0,1*(1-eps),"[0.24264067249656893, 0.207106767352752, 0.18065104662229856, 0.16018861684614066, 0.14389011803721846, 0.13060193609558696, 0.11956057556334367, 0.11024060392636675, 0.10226857174487874, 0.09537178483682084, 0.08934643647631402, 0.08403718007671009, 0.07932351795422782, 0.07511055241066951, 0.07132252868078177, 0.06789824089447485, 0.0647876988180863, 0.061949671549381656, 0.05934984343004958]",True
1.0,0.0,1.0,0.0,0.5*(1-eps),"[0.3267268794658188, 0.2928932092041982, 0.2654091944881403, 0.2426406860584446, 0.22346999100508053, 0.20710677978951378, 0.19297639136124345, 0.1806510158261079, 0.16980559939949857, 0.160188620246914, 0.15160256054004068, 0.1438901122344731, 0.13692438792086853, 0.13060193735409936, 0.12483757095098165, 0.11956057618017564, 0.11471159617116077, 0.11024060214874985, 0.10610506015467289]",True
1.0,0.0,1.0,0.0,0.25*(1-eps),"[0.39520534333283874, 0.36939803796384135, 0.3467546450939508, 0.32672689279164463, 0.30888633214528005, 0.2928932144642096, 0.2784747169397938, 0.2654091746183033, 0.25351474289107856, 0.24264067979742185, 0.23266108018465653, 0.22346999246775884, 0.2149774555759665, 0.20710678117317208, 0.1997920636067491, 0.19297641058679013, 0.18661042251752288, 0.18065104450885575, 0.17506050874795073]",True
1.0,0.0,1.0,0.5,2*(1-eps),"[0.1959863009031781, 0.15400898331792176, 0.12355725539761528, 0.10078554257002285, 0.08335060473290494, 0.06974653133691085, 0.05896426357881218, 0.05030465627350013, 0.04326988591347918, 0.0375049606589633, 0.03274756009867018, 0.02879711339804571, 0.02550005548412191, 0.02273656255899124, 0.02040815414527509, 0.018429513580024932, 0.016733263530672504, 0.015268111929964984, 0.013993569228659864]",True
1.0,0.0,1.0,0.5,1.5*(1-eps),"[0.1959863009031781, 0.15400898331792176, 0.12355725539761528, 0.10078554257002285, 0.08335060473290494, 0.06974653133691085, 0.05896426357881218, 0.05030465627350013, 0.04326988591347918, 0.0375049606589633, 0.03274756009867018, 0.02879711339804571, 0.02550005548412191, 0.02273656255899124, 0.02040815414527509, 0.018429513580024932, 0.016733263530672504, 0.015268111929964984, 0.013993569228659864]",True
1.0,0.0,1.0,0.5,1*(1-eps),"[0.1959863009031781, 0.15400898331792176, 0.12355725539761528, 0.10078554257002285, 0.08335060473290494, 0.06974653133691085, 0.05896426357881218, 0.05030465627350013, 0.04326988591347918, 0.0375049606589633, 0.03274756009867018, 0.02879711339804571, 0.02550005548412191, 0.02273656255899124, 0.02040815414527509, 0.018429513580024932, 0.016733263530672504, 0.015268111929964984, 0.013993569228659864]",True
1.0,0.0,1.0,0.5,0.5*(1-eps),"[0.30593491630961944, 0.2660322207945412, 0.23332341161454093, 0.20612825814739755, 0.18324655402465723, 0.16379826421096869, 0.14712355159303425, 0.13271818345136646, 0.12019017145744887, 0.10923048667744271, 0.09959221325634922, 0.09107583845036503, 0.08351848050881644, 0.0767859464284483, 0.07076825244853521, 0.06537713441422452, 0.06052500359628551, 0.0561498590904242, 0.0521973297616836]",True
1.0,0.0,1.0,0.5,0.25*(1-eps),"[0.38781291915411853, 0.35891315219116365, 0.33316349389965083, 0.3100984923264836, 0.28933965990495525, 0.2705757899151776, 0.25354884747592044, 0.23804306738837916, 0.22387654464394638, 0.21089493479967802, 0.19896639458696996, 0.18797764713189943, 0.17783079990959985, 0.16844085584174903, 0.15973360572605605, 0.15164415029313077, 0.14411517823388795, 0.1370961548426317, 0.13054230186577173]",True
